Unnamed: 0,fap,ifar,stat,snr,timeslide_value,H1_snr,H1_start_time,H1_trigger_time,H1_template_duration,H1_trigger_id,L1_snr,L1_start_time,L1_trigger_time,L1_template_duration,L1_trigger_id,mass_1,mass_2,mass_total,mass_chirp,mass_ratio,spin1z,spin2z,f_lower,template_id,injection_mass_1,injection_mass_2,injection_geocent_time,injection_chi_1,injection_chi_2,injection_luminosity_distance,injection_theta_jn,injection_psi,injection_phase,injection_ra,injection_dec
941,1.6282851e-07,119518.48,11.518168,15.147651505141154,0.0,11.097302,1178114423.890625,1178114425.890625,0.25990343,514719,10.310249,1178114423.8916016,1178114425.8916016,0.25990343,306535,60.487797,20.88619,81.373985,30.11751117566908,0.34529594,-0.22023608,-0.22023608,26.0,136523,46.55461120605469,30.8939208984375,1178114425.8724086,0.4975045025348663,0.4594666957855225,563.6201782226562,1.3233200311660769,0.0218498706817626,0.9319928288459778,3.5886659622192383,-0.9363722205162048
942,0.14011493,0.12891802,8.583625999999999,8.825955694748147,0.0,5.913565,1178114632.6416016,1178114634.6416016,0.41902584,161990,6.5518885,1178114632.6381836,1178114634.6381836,0.41902584,96957,47.88748,22.281849,70.16933,28.03331568364135,0.4652959,0.698983,0.698983,27.0,130156,52.95124053955078,16.12183952331543,1178114634.6393669,0.557321310043335,0.6736063957214355,639.478515625,1.1215020418167114,3.446676015853882,1.9081519842147827,1.360200047492981,0.6215342879295349
947,1.6282851e-07,119518.48,19.86964,29.469284973568747,0.0,20.506954,1178116827.3354492,1178116829.3354492,0.3203833,248913,21.163733,1178116827.334961,1178116829.334961,0.3203833,148798,36.003372,33.69675,69.70012,30.31880039451001,0.9359332,0.1221779,0.1221779,26.7,138006,33.06964111328125,45.95256042480469,1178116829.3093436,0.6517686247825623,0.0455136410892009,493.4544982910156,2.1481280326843257,2.8584809303283687,3.5906360149383545,2.6434690952301025,-0.5187249183654785
948,1.6282851e-07,119518.48,12.951674,16.685457020549276,0.0,10.318919,1178117436.621582,1178117438.621582,0.3441163,2229094,13.111994,1178117436.6191404,1178117438.6191404,0.3441163,1321116,61.992485,20.731733,82.72421999999999,30.3290118890776,0.33442333,0.32090312,0.32090312,26.5,149395,18.61610984802246,66.85196685791016,1178117438.6360967,0.4859414100646973,0.4972276985645294,1162.1619873046875,2.7153890132904053,4.573564052581787,3.337593078613281,0.1855321973562241,0.7655364871025085
962,1.6282851e-07,119518.48,13.361185,18.78089494631044,0.0,9.62625,1178130535.3823242,1178130537.3823242,0.26041138,727360,16.126293,1178130535.3759766,1178130537.3759766,0.26041138,430446,50.53126,17.000395,67.531654,24.803330962571582,0.3364332,-0.94498813,-0.94498813,25.5,130294,40.30916976928711,33.26176071166992,1178130537.3931804,0.7272647023200989,0.6359131932258606,593.0626220703125,2.2235538959503174,0.4409776031970978,3.8002169132232666,1.4811669588088991,0.4209007918834686
968,1.6282851e-07,119518.48,19.044966,31.75542024927935,0.0,22.515625,1178132227.7348633,1178132229.7348633,0.25892255,1577068,22.393154,1178132227.7314453,1178132229.7314453,0.25892255,935428,68.855125,12.859548,81.714676,24.31292269922471,0.18676239,-0.58145344,-0.58145344,25.0,178362,50.25328063964844,42.48162841796875,1178132229.7118762,0.1968556940555572,0.3321346044540405,537.4537963867189,2.273819923400879,2.569509029388428,5.37755298614502,3.622514009475708,-0.9598113894462584
970,1.6282851e-07,119518.48,21.28203,44.59806339193424,0.0,42.160404,1178135419.103027,1178135421.103027,0.4113122999999999,1969737,14.542613,1178135419.1123047,1178135421.1123047,0.4113122999999999,1166428,30.93601,20.591702,51.52771,21.881936413075422,0.6656224000000001,-0.99732435,-0.99732435,25.9,130062,37.028419494628906,28.12583923339844,1178135421.1124089,0.3542900085449219,0.1581283956766128,139.89509582519528,2.344022989273072,2.8337581157684326,4.2046289443969735,5.80886697769165,0.5859683156013489
975,1.51429385e-05,1285.1449,9.738442,11.266937525287872,0.0,5.736164,1178137738.4858398,1178137740.4858398,0.3214676,3258246,9.697438,1178137738.4799805,1178137740.4799805,0.3214676,1930308,47.984634,16.443876,64.42851,23.79294582889688,0.34269047,-0.9791132,-0.9791132,25.5,149740,65.25920867919922,14.6139497756958,1178137740.4953876,0.2645600140094757,0.0607954785227775,755.5123291015625,0.8650313019752502,1.688289999961853,2.9168360233306885,1.7840169668197632,0.2389944046735763
976,2.6866344e-05,724.35443,9.583,10.93416895560661,0.0,6.842575599999999,1178137824.0200195,1178137826.0200195,0.32780585,1933855,8.528494,1178137824.0214846,1178137826.0214846,0.32780585,1145176,70.5659,11.072348,81.63825,22.559113591469806,0.1569079,-0.42832708,-0.42832708,24.9,302035,31.412879943847656,53.70621109008789,1178137826.006709,0.5487474203109741,0.6528059840202332,1229.9410400390625,0.4515712857246399,4.598013877868652,0.5092716813087463,5.692989826202393,-0.9362326264381408
978,1.6282851e-07,119518.48,44.423485,129.0001798065588,0.0,88.32722,1178138836.5253904,1178138838.5253904,0.45093897,1898664,94.01781,1178138836.5234375,1178138838.5234375,0.45093897,1124174,34.91372,19.597359,54.511078000000005,22.58495553374824,0.56130826,-0.29744318,-0.29744318,26.1,131237,15.763259887695312,46.26160049438477,1178138838.500061,0.6818739175796509,0.1271851956844329,60.48073959350586,1.222362995147705,1.97332501411438,0.1469126939773559,4.234790802001953,-0.8044822812080383
981,1.0,0.0006668923,7.8613815,8.364401462320249,0.0,5.644974700000001,1178140131.298828,1178140133.298828,0.16193812,1167805,6.172315,1178140131.3076172,1178140133.3076172,0.16193812,692654,63.229652,21.310553,84.54021,31.066808768593145,0.33703417,-0.90298134,-0.90298134,25.7,149382,41.89965057373047,47.24003982543945,1178140133.299216,0.1225045025348663,0.960771918296814,757.9027709960938,1.4491529464721682,5.31678581237793,0.995330274105072,4.942750930786133,0.6624314188957214
988,1.6282851e-07,119518.48,16.165653,25.30656777382101,0.0,20.11194,1178148525.1098633,1178148527.1098633,0.37552357,36164,15.360086,1178148525.1108398,1178148527.1108398,0.37552357,21513,76.58058,12.961053,89.54163,25.56526875457298,0.16924725,0.22258838,0.22258838,25.5,277161,19.64859962463379,67.34718322753906,1178148527.1230464,0.6126722097396851,0.3837105035781861,222.56939697265625,1.442391037940979,2.6026411056518555,3.018007040023804,3.2743849754333496,1.1062500476837158
989,1.3026273e-06,14939.81,9.978531,11.344759939009077,0.0,7.862594599999999,1178148731.4233398,1178148733.4233398,0.3506425999999999,2779184,8.178214,1178148731.4213867,1178148733.4213867,0.3506425999999999,1647011,47.94449,16.22559,64.170074,23.61005478279659,0.3384244999999999,-0.9214889,-0.9214889,25.6,134036,34.09740829467773,47.95578002929688,1178148733.4363945,0.7141140103340149,0.5525817275047302,867.7711181640625,1.0568219423294067,4.976892948150635,0.1057671979069709,1.8746800422668457,0.0908605232834816
990,1.0,0.00040257897,7.77245,7.8951173827742736,0.0,5.60349,1178148917.709473,1178148919.709473,0.2244114999999999,2697303,5.5618143,1178148917.7026367,1178148919.7026367,0.2244114999999999,1597696,105.89011,13.617004,119.50711,30.19141220440723,0.12859562,0.099210724,0.099210724,25.1,192770,50.01396942138672,30.60308074951172,1178148919.7206311,0.9885532855987548,0.2894619107246399,1667.22900390625,0.604929506778717,6.173529148101808,0.5283178091049194,2.435460090637207,-0.0516103096306324
994,1.6282851e-07,119518.48,23.079874,39.54210175896937,0.0,28.995735,1178151327.5541992,1178151329.5541992,0.26041138,727209,26.885408,1178151327.5576172,1178151329.5576172,0.26041138,430567,50.53126,17.000395,67.531654,24.803330962571582,0.3364332,-0.94498813,-0.94498813,25.5,130294,18.72686004638672,62.70014953613281,1178151329.571882,0.9045721292495728,0.3324567079544067,274.67831420898443,0.7138878107070923,4.429636001586914,0.7874953150749207,1.833132028579712,0.959041178226471
995,1.6282851e-07,119518.48,12.478327,14.950048950271768,0.0,9.362571,1178151527.8583984,1178151529.8583984,0.44843334,938371,11.655309,1178151527.8642578,1178151529.8642578,0.44843334,554902,41.977337,15.221696,57.19903000000001,21.468861654418824,0.362617,-0.8482832,-0.8482832,25.7,130098,54.14886093139648,17.150810241699222,1178151529.8499727,0.0456866100430488,0.1413117945194244,521.2113037109375,0.6591219902038574,3.1260280609130864,2.610508918762207,5.441021919250488,0.4304705858230591
996,1.6282851e-07,119518.48,14.122323000000002,22.42990224851,0.0,14.215433,1178151621.0483398,1178151623.0483398,0.22325423,3153086,17.349985,1178151621.0478516,1178151623.0478516,0.22325423,1867736,58.981403,13.675294,72.6567,23.536177576421306,0.23185772,-0.9711684000000002,-0.9711684000000002,25.1,392261,49.99082946777344,35.120059967041016,1178151623.0606637,0.995005428791046,0.2896349132061005,482.0368041992188,2.404310941696167,2.393454074859619,4.318816184997559,3.547548055648804,1.0324480533599854
1000,1.6282851e-07,119518.48,21.417898,28.94942858705747,0.0,18.747442000000003,1178154325.0283206,1178154327.0283206,0.4130729999999999,3249363,22.059076,1178154325.0283206,1178154327.0283206,0.4130729999999999,1924882,48.66901,19.60384,68.27285,26.357644098211,0.40279922,0.42603123,0.42603123,26.4,132092,32.17845916748047,30.54117012023925,1178154327.0440464,0.6769652962684631,0.8561550974845886,493.02191162109375,2.1287059783935547,1.0817159414291382,1.40064799785614,2.248377084732056,0.4742786884307861
