Unnamed: 0,ifar,stat,snr,timeslide_value,H1_snr,H1_start_time,H1_trigger_time,H1_template_duration,H1_trigger_id,L1_snr,L1_start_time,L1_trigger_time,L1_template_duration,L1_trigger_id,mass_1,mass_2,mass_total,mass_chirp,mass_ratio,spin1z,spin2z,f_lower,template_id
2830730,7.4655568935162115,9.058253,11.171482378975004,657974.1000000001,9.32589,1177734108.269043,1177734110.269043,0.17898995,306136472,6.150593,1177076134.165039,1177076136.165039,0.17898995,145450253,202.76501,2.8645065,205.62952,15.696708996172225,0.014127223,0.12696429,0.12696429,22.3,178239
2831054,0.1514971676479514,8.603306,9.853531135488891,658309.8,5.652032,1178196617.4033206,1178196619.4033206,0.31623322,64681631,8.071344999999999,1177538307.600586,1177538309.600586,0.31623322,30746335,93.54016,10.105251,103.64542,24.11110545829245,0.10803115,-0.064206265,-0.064206265,24.7,178405
2831319,0.4404836089290417,8.731082,19.36665824580206,658569.3,18.041458,1177733837.6577148,1177733839.6577148,0.3628282,31103559,7.040827,1177075268.3652346,1177075270.3652346,0.3628282,14782123,94.68653,2.1028962000000004,96.78943,9.600592648062026,0.022209032,-0.996209,-0.996209,22.0,177416
2831409,3.677257491201669,8.977385,19.704015323640533,658783.4,5.502806,1177801564.8608398,1177801566.8608398,0.19573641,214755927,18.920025,1177142781.456543,1177142783.456543,0.19573641,102036032,103.63927,2.1423995,105.78167,10.068686054812998,0.020671697,-0.99352264,-0.99352264,22.3,177620
2831710,0.0711705480922551,8.510585,8.598190515895519,659107.3,6.1819334,1177654895.7480466,1177654897.7480466,0.20884983,327879140,5.9760003,1176995788.4482422,1176995790.4482422,0.20884983,155779165,92.866585,45.402637,138.26923,55.82377863442087,0.48890176,0.9968367,0.9968367,28.4,143840
2832442,6.036680780132035,9.033921,19.71036190354896,660158.8,5.680855,1177802940.2480466,1177802942.2480466,0.3395019999999999,275890117,18.873957,1177142781.4560547,1177142783.4560547,0.3395019999999999,131084862,108.49922,1.1388183,109.63804,7.0329313058581535,0.010496096,-0.9965974,-0.9965974,20.8,175796
2832554,0.0864151625169642,8.534689,9.27131061341173,660356.4,5.767435,1178185136.0888672,1178185138.0888672,0.25751165,68000893,7.259056,1177524779.6875,1177524781.6875,0.25751165,32321121,63.226902,25.255524,88.48241999999999,34.086590604163625,0.3994427,0.09305124,0.09305124,26.4,131914
2832616,0.433591680900911,8.729214,20.827773343734517,660495.8,8.807377,1177803277.2509766,1177803279.2509766,0.3395019999999999,275890647,18.873957,1177142781.4560547,1177142783.4560547,0.3395019999999999,131084862,108.49922,1.1388183,109.63804,7.0329313058581535,0.010496096,-0.9965974,-0.9965974,20.8,175796
2832831,139.33673571971036,9.396642,19.831844393750902,660587.9,6.08899,1177803369.3466794,1177803371.3466794,0.3395019999999999,275889546,18.873957,1177142781.4560547,1177142783.4560547,0.3395019999999999,131084862,108.49922,1.1388183,109.63804,7.0329313058581535,0.010496096,-0.9965974,-0.9965974,20.8,175796
2832852,0.4152247612403785,8.724105,10.071237873548586,660620.3,7.7069507,1177672331.1542966,1177672333.1542966,0.24544232,99866745,6.483266400000001,1177011710.849121,1177011712.849121,0.24544232,47465152,414.90625,22.151077,437.0573,70.77815153595613,0.05338815,0.99381477,0.99381477,26.1,277312
2833088,1.7349331713055535e-05,5.656854,71.82264924238056,661000.0,5.600842500000001,1177812819.477539,1177812821.477539,0.3110200999999999,314318368,71.60393499999999,1177151819.4648438,1177151821.4648438,0.3110200999999999,149340100,342.14035,3.836407700000001,345.97675,23.071086222917145,0.011212965,0.70959866,0.70959866,21.7,192795
2833198,0.1712055378498036,8.618139999999999,18.766067205171144,661050.3,6.11351,1177803831.767578,1177803833.767578,0.27143323,128652108,17.74233,1177142781.459473,1177142783.459473,0.27143323,61141739,86.43621,4.943504,91.379715,15.355656851819344,0.05719251,-0.86781687,-0.86781687,23.3,178205
2833254,0.0720136864064686,8.512052,14.87834399317108,661186.6000000001,8.942729,1177796797.4902346,1177796799.4902346,0.27460757,280833454,11.890867,1177135610.8911133,1177135612.8911133,0.27460757,133432882,199.96297,2.1818087000000004,202.14478,13.265610499402108,0.010911064,0.15120766,0.15120766,21.7,276915
2833596,0.4841101690239753,8.742238,9.661416025463607,661516.1000000001,5.840738,1177988070.6435547,1177988072.6435547,0.26309618,14004014,7.696021000000001,1177326554.5429688,1177326556.5429688,0.26309618,6652210,92.94168,2.9350843,95.87676,11.618658592928137,0.03157985,-0.9912105,-0.9912105,22.6,329388
2834011,0.1483473208287161,8.600771,10.56360119615702,662058.9,5.845559,1178196617.3916016,1178196619.3916016,0.38256997,309820654,8.798813,1177534558.487793,1177534560.487793,0.38256997,147199825,217.50641,3.7169209,221.22333,18.863706810875,0.017088788,0.4697697,0.4697697,22.6,192734
2834195,0.1618725269209542,8.611334,9.333958664506357,662482.8,5.7060485,1178203257.6767578,1178203259.6767578,0.21209432,302081771,7.386731,1177540774.871582,1177540776.871582,0.21209432,143526585,80.45451,6.467479,86.92199000000001,17.456024334424686,0.08038678,-0.9979954,-0.9979954,23.8,178349
2834250,5.624564174734177e-05,7.199437,12.600587368632146,662500.0,5.865914,1177751363.6191404,1177751365.6191404,0.1861236,157366641,11.151944,1177088863.6176758,1177088865.6176758,0.1861236,74775863,44.637640000000005,36.80978,81.44742,35.255202354838616,0.8246353999999999,-0.21979813,-0.21979813,26.7,137630
2834324,2.576753607100808e-05,6.468888,79.87652858125674,662500.0,58.39269,1178073444.6708984,1178073446.6708984,0.1797813999999999,249631616,54.502785,1177410944.6723633,1177410946.6723633,0.1797813999999999,118606011,118.6424,1.2398531000000002,119.882256,7.670349041547229,0.0104503369999999,-0.9153426,-0.9153426,21.5,176518
2834947,0.1582608141182941,8.608617,8.901576692683717,663422.0,5.718831,1177881222.6635742,1177881224.6635742,0.34075084,223068684,6.821513,1177217800.6640625,1177217802.6640625,0.34075084,105984441,55.427597,21.940374,77.36797,29.73512776559053,0.39583847,0.012306848,0.012306848,26.4,137078
2835337,4.4638175212811415,8.999456,11.512565804937882,663930.6000000001,9.227864,1177813040.8989258,1177813042.8989258,0.22984311,201004085,6.883727,1177149110.2998047,1177149112.2998047,0.22984311,95501743,147.54742,1.5285785,149.076,9.48964755579168,0.010359913,-0.3900991,-0.3900991,21.5,328741
2835361,0.2557228663705476,8.666428,8.973064720690243,663969.2000000001,6.4170127,1177802736.3081057,1177802738.3081057,0.39328843,79439241,6.271988400000001,1177138767.1118164,1177138769.1118164,0.39328843,37759941,92.18842,8.409815,100.598236,21.53573097695909,0.09122419,-0.03740501,-0.03740501,24.5,192759
2836000,0.143790551579305,8.596966,9.93983848634373,664612.5,5.5565352,1178202920.1020508,1178202922.1020508,0.36391762,146272153,8.241681,1177538307.5981443,1177538309.5981443,0.36391762,69510082,90.22124,7.715148399999999,97.936386,20.295652791319057,0.085513666,-0.23253606,-0.23253606,24.2,330902
2836405,0.0730760838639862,8.513886,11.939270915769605,665190.1000000001,9.789214,1178192528.7001953,1178192530.7001953,0.2576946,44115296,6.8350186,1177527338.5913086,1177527340.5913086,0.2576946,20971200,163.96811,1.6858407,165.65395,10.497966888227683,0.010281516,-0.17564932,-0.17564932,21.5,192100
2836566,0.0006615524234721,7.8601985,8.569159123929037,665500.0,6.566575500000001,1177662379.5205078,1177662381.5205078,0.36391762,146272180,5.505504,1176996879.5292966,1176996881.5292966,0.36391762,69509705,90.22124,7.715148399999999,97.936386,20.295652791319057,0.085513666,-0.23253606,-0.23253606,24.2,330902
2837606,0.1078939078489196,8.561983,9.342888008618374,666767.1000000001,5.673879,1178207541.9707034,1178207543.9707034,0.16245554,12266734,7.422712,1177540774.8691404,1177540776.8691404,0.16245554,5824211,120.9647,7.153949000000001,128.11865,21.917964333802605,0.059140798,-0.30303526,-0.30303526,23.9,192711
2837639,0.5306285272344751,8.753162,10.093958757757733,666811.1000000001,8.428115,1177817584.6557617,1177817586.6557617,0.30881387,78482299,5.554717,1177150773.5576172,1177150775.5576172,0.30881387,37306396,94.85112,3.6575139,98.50864,13.34879940526302,0.038560577,-0.76533026,-0.76533026,22.9,178082
2838046,0.0889263758880915,8.538225,10.188679226136133,667282.1000000001,5.541226999999999,1177801668.4223633,1177801670.4223633,0.3395019999999999,275890184,8.550087,1177134386.3222654,1177134388.3222654,0.3395019999999999,131084439,108.49922,1.1388183,109.63804,7.0329313058581535,0.010496096,-0.9965974,-0.9965974,20.8,175796
